[INFO]: 2025-07-04 00:47:18 - Connected to database: capbridge
[INFO]: 2025-07-04 00:47:23 - Connected to database: capbridge
[INFO]: 2025-07-04 00:47:26 - Connected to database: capbridge
[INFO]: 2025-07-04 00:47:34 - Connected to database: capbridge
[INFO]: 2025-07-04 00:47:49 - Connected to database: capbridge
[INFO]: 2025-07-04 00:48:02 - Connected to database: capbridge
[INFO]: 2025-07-04 00:48:07 - Connected to database: capbridge
[INFO]: 2025-07-04 00:48:16 - Connected to database: capbridge
[INFO]: 2025-07-04 00:48:18 - Connected to database: capbridge
[INFO]: 2025-07-04 00:48:27 - Connected to database: capbridge
[INFO]: 2025-07-04 00:48:29 - Connected to database: capbridge
[INFO]: 2025-07-04 00:48:33 - Connected to database: capbridge
[INFO]: 2025-07-04 00:48:36 - Connected to database: capbridge
[INFO]: 2025-07-04 00:48:38 - Connected to database: capbridge
[INFO]: 2025-07-04 00:48:40 - Connected to database: capbridge
[INFO]: 2025-07-04 00:48:46 - Connected to database: capbridge
[INFO]: 2025-07-04 00:48:51 - Connected to database: capbridge
[INFO]: 2025-07-04 00:48:54 - Connected to database: capbridge
[INFO]: 2025-07-04 00:48:59 - Connected to database: capbridge
[INFO]: 2025-07-04 00:49:04 - Connected to database: capbridge
[INFO]: 2025-07-04 00:49:08 - Connected to database: capbridge
[INFO]: 2025-07-04 00:49:12 - Connected to database: capbridge
[INFO]: 2025-07-04 00:49:16 - Connected to database: capbridge
[INFO]: 2025-07-04 00:49:19 - Connected to database: capbridge
[INFO]: 2025-07-04 00:49:21 - Connected to database: capbridge
[INFO]: 2025-07-04 00:49:22 - Connected to database: capbridge
[INFO]: 2025-07-04 00:49:26 - Connected to database: capbridge
[INFO]: 2025-07-04 00:49:29 - Connected to database: capbridge
[INFO]: 2025-07-04 00:49:36 - Connected to database: capbridge
[INFO]: 2025-07-04 00:49:39 - Connected to database: capbridge
[INFO]: 2025-07-04 00:49:43 - Connected to database: capbridge
[INFO]: 2025-07-04 00:49:49 - Connected to database: capbridge
[INFO]: 2025-07-04 00:49:50 - Connected to database: capbridge
[INFO]: 2025-07-04 00:49:59 - Connected to database: capbridge
[INFO]: 2025-07-04 00:50:06 - Connected to database: capbridge
[INFO]: 2025-07-04 00:50:10 - Connected to database: capbridge
[INFO]: 2025-07-04 00:50:13 - Connected to database: capbridge
[INFO]: 2025-07-04 00:50:16 - Connected to database: capbridge
[INFO]: 2025-07-04 00:50:19 - Connected to database: capbridge
[INFO]: 2025-07-04 00:50:24 - Connected to database: capbridge
[ERROR]: 2025-07-04 00:50:38 - In Server: Missing auth token
[ERROR]: 2025-07-04 00:50:42 - In Server: Error 1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '.email, u.phone 
	FROM projects p
	INNER JOIN users u ON u.uid = p.user_id
	LIMI' at line 5
[INFO]: 2025-07-04 00:51:32 - Connected to database: capbridge
[INFO]: 2025-07-04 00:51:32 - Admin List User success
[INFO]: 2025-07-04 00:51:49 - Connected to database: capbridge
[INFO]: 2025-07-04 00:51:58 - Connected to database: capbridge
[INFO]: 2025-07-04 00:52:03 - Connected to database: capbridge
[INFO]: 2025-07-04 00:52:41 - Connected to database: capbridge
[INFO]: 2025-07-04 00:52:46 - Connected to database: capbridge
[INFO]: 2025-07-04 00:52:52 - Admin List User success
[INFO]: 2025-07-04 00:53:28 - Connected to database: capbridge
[INFO]: 2025-07-04 00:53:34 - Connected to database: capbridge
[INFO]: 2025-07-04 00:53:35 - Connected to database: capbridge
[INFO]: 2025-07-04 00:53:39 - Connected to database: capbridge
[INFO]: 2025-07-04 00:53:53 - Connected to database: capbridge
[INFO]: 2025-07-04 00:53:55 - Connected to database: capbridge
[INFO]: 2025-07-04 00:54:02 - Connected to database: capbridge
[INFO]: 2025-07-04 00:54:05 - Connected to database: capbridge
[INFO]: 2025-07-04 00:54:08 - Connected to database: capbridge
[INFO]: 2025-07-04 00:54:19 - Admin List User success
[INFO]: 2025-07-04 00:54:57 - Connected to database: capbridge
[INFO]: 2025-07-04 00:54:59 - Connected to database: capbridge
[INFO]: 2025-07-04 00:55:04 - Connected to database: capbridge
[INFO]: 2025-07-04 00:55:08 - Connected to database: capbridge
[INFO]: 2025-07-04 00:55:09 - Connected to database: capbridge
[INFO]: 2025-07-04 00:55:43 - Connected to database: capbridge
[INFO]: 2025-07-04 00:55:45 - Connected to database: capbridge
[INFO]: 2025-07-04 00:55:49 - Connected to database: capbridge
[INFO]: 2025-07-04 00:55:55 - Connected to database: capbridge
[INFO]: 2025-07-04 00:56:03 - Connected to database: capbridge
[INFO]: 2025-07-04 00:56:10 - Connected to database: capbridge
[INFO]: 2025-07-04 00:56:42 - Connected to database: capbridge
[INFO]: 2025-07-04 00:56:48 - Connected to database: capbridge
[INFO]: 2025-07-04 00:56:54 - Connected to database: capbridge
[INFO]: 2025-07-04 00:57:07 - Connected to database: capbridge
[INFO]: 2025-07-04 00:57:08 - Connected to database: capbridge
[INFO]: 2025-07-04 00:57:13 - Connected to database: capbridge
[INFO]: 2025-07-04 00:57:20 - Connected to database: capbridge
[INFO]: 2025-07-04 00:57:24 - Connected to database: capbridge
[INFO]: 2025-07-04 00:57:27 - Connected to database: capbridge
[INFO]: 2025-07-04 00:57:29 - Connected to database: capbridge
[INFO]: 2025-07-04 00:57:34 - Connected to database: capbridge
[INFO]: 2025-07-04 00:57:42 - Connected to database: capbridge
[INFO]: 2025-07-04 00:57:44 - Connected to database: capbridge
[INFO]: 2025-07-04 00:57:53 - Connected to database: capbridge
[INFO]: 2025-07-04 00:57:55 - Connected to database: capbridge
[INFO]: 2025-07-04 00:57:56 - Connected to database: capbridge
[INFO]: 2025-07-04 00:58:01 - Connected to database: capbridge
[INFO]: 2025-07-04 00:58:08 - Connected to database: capbridge
[INFO]: 2025-07-04 00:58:12 - Connected to database: capbridge
[INFO]: 2025-07-04 00:58:14 - Connected to database: capbridge
[INFO]: 2025-07-04 00:58:16 - Connected to database: capbridge
[INFO]: 2025-07-04 00:58:20 - Connected to database: capbridge
[INFO]: 2025-07-04 00:58:23 - Admin List User success
[INFO]: 2025-07-04 00:59:58 - Connected to database: capbridge
